subs,title
" Adding pages without visiting them , Adding whole categories ",Book creator
,Cite
,"Pages that link to ""Christopher Bushell"""
,"Information for ""Christopher Bushell"""
,Talk:Christopher Bushell
,"Changes related to ""Christopher Bushell"""
,Log in / create account
,Log in / create account
,Editing Christopher Bushell
,Category:People from Neston
,Christopher Bushell: Revision history
,"Category:Alumni of Corpus Christi College, Oxford"
,"Rendering,Want to print more than one article?"
,Category:British military personnel killed in World War I
"[,],Cavalry Divisions,[,],Divisional Cavalry,[,],Nomenclature",German cavalry in World War I
,Category:British World War I recipients of the Victoria Cross
,Category:Members of the Inner Temple
,Christopher Bushell
,Category:1918 deaths
,Category:Companions of the Distinguished Service Order
,Tergnier
,Editing Christopher Bushell (section)
,Killed in action
,Category:1888 births
"[,],Port,[,],Mining",Neston
,Editing Christopher Bushell (section)
,Morlancourt
,Alec George Horwood
" Adding pages without visiting them , Adding whole categories ",Book creator
,"Pages that link to ""Alec George Horwood"""
,Cite
,"Information for ""Alec George Horwood"""
,Talk:Alec George Horwood
,Category:British Army personnel of World War I
,Log in / create account
,"Changes related to ""Alec George Horwood"""
,Log in / create account
,Category:British Army recipients of the Victoria Cross
,Category:Escapees from German detention
,Category:British World War II recipients of the Victoria Cross
,Alec George Horwood: Revision history
,Category:Queen's Royal Regiment officers
,Editing Alec George Horwood
,Category:Recipients of the Distinguished Conduct Medal
,Category:People from Deptford
,Category:British Army personnel of World War II
,Category:British military personnel killed in World War II
,"Rendering,Want to print more than one article?"
,Alec George Horwood
"[,],Early years,[,],French and Napoleonic Wars,[,],Post Napoleonic 19th Century,[,],The Great War,[,],Between the wars,[,],The Second World War,[,],Post-war service and amalgamation",Queen's Royal Regiment (West Surrey)
,Editing Alec George Horwood (section)
"[,],Establishment: 1917–1924,[,],Relocation 1924–1936,[,],Second World War and after: 1939–1966,[,],Redevelopment and expansion: 1966–2012,[,],First World War centenary: 2014,[,],Imperial War Museum London,[,],Imperial War Museum Duxford,[,],HMS ,[,],Churchill War Rooms,[,],Imperial War Museum North,[,],Documents,[,],Art,[,],Film,[,],Photographs,[,],Exhibits,[,],Library,[,],Sound",Imperial War Museum
,Category:1944 deaths
,Editing Alec George Horwood (section)
,Editing Alec George Horwood (section)
,Category:1914 births
"[,],Origins,[,],Remaining members gain independence,[,],Members with heads of state other than the Sovereign,[,],New Commonwealth,[,],Crisis over human rights and democracy,[,],Head of the Commonwealth,[,],Commonwealth Heads of Government Meeting,[,],Commonwealth Secretariat,[,],Membership criteria,[,],Members,[,],Applicants,[,],Suspension,[,],Termination of membership,[,],Commonwealth Foundation,[,],Commonwealth Games,[,],Commonwealth War Graves Commission,[,],Commonwealth of Learning,[,],Commonwealth Business Council,[,],Sport,[,],Literature,[,],Political system,[,],Symbols,[,],Commonwealth citizenship,[,],Similar organisations",Commonwealth of Nations
"[,],Pakistan Army,[,],Pakistan Air Force,[,],Chitral Scouts,[,],Pakistan Navy,[,],Pakistan Rangers (Sindh),[,],Civilian (Punjab),[,],Civilian (Balochistan)",Tamgha-i-Khidmat
"[,],Deptford Dockyard,[,],Churches,[,],Bibliography,[,],Notes",Deptford
,Tamgha-e-Basalat
,Imtiazi Sanad
,Sitara-e-Basalat
,Tamgha-i-Jurat
,Sitara-e-Jurat
"[,],Sarfaraz Ahmed Rafiqui,[,],List of Notable Recipients,[,],Retractions,[,],Faisal Khan",Hilal-i-Jur'at
,Template:Pakistan honours and decorations
,Template talk:Pakistan honours and decorations
,Nishan-e-Haider
"[,],Symbolism",
,Editing Nishan-e-Imtiaz (section)
,Editing Nishan-e-Imtiaz (section)
,Editing Template:Pakistan honours and decorations
,Editing Nishan-e-Imtiaz (section)
,Vitreous enamel
"[,],Historical context,[,],Early air-on and private ownership,[,],Nationalization,[,],State capital revenue,[,],Planned channels,[,],News division,[,],Current affairs,[,],Sports division,[,],International relations,[,],PTV Film Censor Board,[,],Engineering,[,],Training academy,[,],Year 2012,[,],The early team,[,],Managing director",Pakistan Television Corporation
"[,],Color,[,],Clarity,[,],Treatments",Emerald
"[,],Background,[,],Partition,[,],The date of independence",Independence Day (Pakistan)
,Pakistan Day
"[,],Commissioned officers rank",Pakistani Marines
"[,],2012-present",Parliament of Pakistan
"Etymology,Nomenclature,Definition,Competition,Sportsmanship,Cheating,Doping and drugs,Violence,Gender participation,Youth participation,Spectator involvement,Amateur and professional,Technology,Politics",Sport
"[,],Delivery,[,],Basic sciences,[,],Specialties,[,],Interdisciplinary fields,[,],Ancient world,[,],Middle ages,[,],Modern",Medicine
"[,],Drawing,[,],Painting,[,],Photography,[,],Architecture,[,],Conceptual art,[,],Video games,[,],Music,[,],Theatre,[,],Dance",The arts
"History,Philosophy of science,Pseudoscience, fringe science, and junk science,The scientific method,Mathematics and formal sciences,Basic and applied research,Research in practice,Practical impacts of scientific research,Branches and fields,Institutions,Literature,Women in science,Science policy,Media perspectives,Political usage",Science
,Civilian
"[,],Salient features",Constitution of Pakistan of 1956
"[,],Natural science,[,],Philosophy,[,],History,[,],Law,[,],UK",Literature
,Tamgha-e-Imtiaz
"[,],Gallery",Presidential Medal of Freedom
,Sitara-i-Imtiaz
"[,],Parliamentary system,[,],Semi-presidential systems,[,],Presidential system,[,],Single-party states,[,],Complications with categorization,[,],Symbolic role,[,],Chief diplomatic officer,[,],Chief executive officer,[,],Legislative roles,[,],Summoning and dissolving the legislature,[,],Other prerogatives,[,],Shared and substitute heads of state,[,],Religious heads of state,[,],City states and crowned republics,[,],Multiple or collective heads of state,[,],Unique cases and titles,[,],By fiction or fiat,[,],By divine appointment,[,],By social contract,[,],By constitution,[,],By hereditary succession,[,],By election,[,],By appointment,[,],By force or revolution,[,],By foreign imposition,[,],Loss",Head of state
,Hilal-i-Imtiaz
"[,],Levels of formality,[,],Politeness,[,],Urdu script,[,],Kaithi script,[,],Devanagari script,[,],Roman script,[,],Uddin and Begum Urdu-Hindustani romanization,[,],Differences with Persian alphabet,[,],Sample text,[,],Prose,[,],Poetry",Urdu
,Prime Minister of Pakistan
"Countries in order of total speakers,Countries where English is a major language,English as a global language,Register effects,Formal written English,Simplified and constructed varieties,Consonants,Vowels,Stress, rhythm and intonation,Number of words in English,Word origins,Bibliography",English language
,David Horner
" Metasearch engines for online databases , Worldwide , Key national libraries , , , , , , , , and , , , , Price comparison sites , Search many individual booksellers , Individual online booksellers , Electronic Reference Library ",Book sources
" Metasearch engines for online databases , Worldwide , Key national libraries , , , , , , , , and , , , , Price comparison sites , Search many individual booksellers , Individual online booksellers , Electronic Reference Library ",Book sources
" Metasearch engines for online databases , Worldwide , Key national libraries , , , , , , , , and , , , , Price comparison sites , Search many individual booksellers , Individual online booksellers , Electronic Reference Library ",Book sources
" Metasearch engines for online databases , Worldwide , Key national libraries , , , , , , , , and , , , , Price comparison sites , Search many individual booksellers , Individual online booksellers , Electronic Reference Library ",Book sources
" Metasearch engines for online databases , Worldwide , Key national libraries , , , , , , , , and , , , , Price comparison sites , Search many individual booksellers , Individual online booksellers , Electronic Reference Library ",Book sources
" Metasearch engines for online databases , Worldwide , Key national libraries , , , , , , , , and , , , , Price comparison sites , Search many individual booksellers , Individual online booksellers , Electronic Reference Library ",Book sources
" Metasearch engines for online databases , Worldwide , Key national libraries , , , , , , , , and , , , , Price comparison sites , Search many individual booksellers , Individual online booksellers , Electronic Reference Library ",Book sources
"[,],Australia,[,],Canada,[,],Pakistan,[,],South Africa",Mentioned in Despatches
,Editing First Battle of Maryang San (section)
"[,],Knights and Dames Grand Cross,[,],Honorary",Order of the British Empire
"[,],Greek ranks,[,],Roman ranks,[,],Turko-Mongol ranks (Ancestral Central Asian Tribes),[,],Persian ranks,[,],Medieval ranks,[,],Commissioned officers,[,],Warrant officers,[,],Enlisted personnel,[,],Rank and unit size,[,],Military ranks and insignia of various nations",Military rank
,Field army
"[,],Australia,[,],Canada,[,],Republic of China (1911–1947),[,],France,[,],Poland (1938–39),[,],United Kingdom,[,],United States,[,],Soviet Union",Corps
"[,],Presidential republic (1956 to 1971),[,],Parliamentary democracy (1971–1977 ),[,],Martial law (1977–1988),[,],Semi-presidential system (1988 to 1993),[,],Parliamentary democracy (1997 to 1999),[,],Semi-presidential system (1999 to 2007),[,],State of Emergency,[,],Parliamentary democracy (2008 to present)",President of Pakistan
,Bill Speakman
"[,],Israel,[,],Korea,[,],Singapore,[,],Australia,[,],Canada,[,],India and Pakistan,[,],Indonesia,[,],United Kingdom,[,],Argentina, Chile, Colombia, Dominican Republic, Mexico and Spain,[,],Belgium,[,],Brazil and Portugal,[,],Finland,[,],France,[,],Germany,[,],Hungary,[,],Ireland,[,],Netherlands,[,],Switzerland",Private (rank)
,No man's land
"[,],Other examples",Attrition warfare
,Editing First Battle of Maryang San (section)
"[,],Hannibal,[,],Napoleonic Wars,[,],American Civil War,[,],World War II,[,],Vietnam,[,],Falklands",Reverse slope defence
" Metasearch engines for online databases , Worldwide , Key national libraries , , , , , , , , and , , , , Price comparison sites , Search many individual booksellers , Individual online booksellers , Electronic Reference Library ",Book sources
,42nd Army (People's Republic of China)
,Tunnel warfare
" Metasearch engines for online databases , Worldwide , Key national libraries , , , , , , , , and , , , , Price comparison sites , Search many individual booksellers , Individual online booksellers , Electronic Reference Library ",Book sources
,Editing First Battle of Maryang San (section)
" Metasearch engines for online databases , Worldwide , Key national libraries , , , , , , , , and , , , , Price comparison sites , Search many individual booksellers , Individual online booksellers , Electronic Reference Library ",Book sources
"[,],Former battalions,[,],Formation, 1948,[,],Operational service,[,],Early years: Japan and Australia, 1948–1950,[,],Korean War, 1950–1953,[,],Malaya and Borneo, 1955–1966,[,],Expansion of the Regiment, 1960s,[,],Vietnam War, 1962–1972,[,],Peacetime service, 1973–1998,[,],East Timor and beyond, 1999 to the Present,[,],Special Operations,[,],Reorganisation, 2005–2010,[,],Foreign military decorations",Royal Australian Regiment
" Metasearch engines for online databases , Worldwide , Key national libraries , , , , , , , , and , , , , Price comparison sites , Search many individual booksellers , Individual online booksellers , Electronic Reference Library ",Book sources
,Editing First Battle of Maryang San (section)
"[,],Second World War,[,],Post-war,[,],Mark 1,[,],Mark 2,[,],Mark 3,[,],Mark 4,[,],L4,[,],Taden gun,[,],Semiautomatic Bren guns",Bren light machine gun
,Military Medal
,Editing First Battle of Maryang San (section)
,Editing First Battle of Maryang San (section)
,Korean Service Corps
,Distinguished Conduct Medal
"[,],Union of Soviet Socialist Republics,[,],United States,[,],People's Republic of China,[,],Belgium,[,],Great Britain,[,],Germany,[,],Austria,[,],France,[,],Photo gallery",Bayonet
"[,],Second World War,[,],Korean War,[,],South African Border War,[,],Further reading,[,],Notes,[,],Bibliography",2 Squadron SAAF
,Airstrike
,Editing First Battle of Maryang San (section)
"[,],Detonation mechanism,[,],Incendiary grenades,[,],Explosive grenades",Grenade
"[,],Genesis,[,],U.S. operational service,[,],Expert opinions,[,],Post-World War II,[,],Non-U.S. service,[,],P-51s and civil aviation,[,],Production,[,],Scale replicas,[,],Notes,[,],Citations,[,],Bibliography",North American P-51 Mustang
,List of bagpipers
,Jack Gerke
"[,],Army,[,],Marine Corps",Company (military unit)
,Enfilade and defilade
"[,],Genesis,[,],U.S. operational service,[,],Expert opinions,[,],Post-World War II,[,],Non-U.S. service,[,],P-51s and civil aviation,[,],Production,[,],Scale replicas,[,],Notes,[,],Citations,[,],Bibliography",North American P-51 Mustang
"[,],Target acquisition,[,],CB Intelligence,[,],CB fire control,[,],CB fire units",Counter-battery fire
,Editing First Battle of Maryang San (section)
,Editing First Battle of Maryang San (section)
,Field gun
"[,],Formation and War of Spanish Succession,[,],Disbandment and reformation (1713–1796),[,],South Africa, India and peace (1796–1854),[,],Crimean War,[,],Indian Rebellion of 1857,[,],Peace and Second Boer War (1863–1914),[,],First World War to 1939,[,],The Desert War,[,],Normandy and beyond",8th King's Royal Irish Hussars
,Editing First Battle of Maryang San (section)
"[,],South Africa,[,],Rhodesia,[,],Sri Lanka,[,],Ireland,[,],India,[,],Luxembourg,[,],Greece,[,],Mark I,[,],Mark II,[,],Mark II/I,[,],Mark III,[,],Mark III/I,[,],Mark IV,[,],Short, Mark I,[,],Carriages,[,],Bishop,[,],Sexton,[,],Yeramba",Ordnance QF 25 pounder
,Royal Regiment of New Zealand Artillery
,Editing First Battle of Maryang San (section)
"[,],Korean War,[,]",1st Infantry Division (Republic of Korea)
,Editing First Battle of Maryang San (section)
"[,],Korean War,[,],Vietnam War,[,],Coup d'état of December Twelfth",9th Infantry Division (Republic of Korea)
,Imperial Cavalry Division (Mesopotamia)
"[,],Campaign credit,[,],Unit decorations",1st Cavalry Division (United States)
"[,],Formation, Scotland & Flanders,[,],1742-1806,[,],Corunna to Waterloo,[,],The Indian Mutiny,[,],1905-1938,[,],World War II,[,],1946-Amalgamation,[,],Victoria Crosses",7th Queen's Own Hussars
"[,],Napoleonic Wars,[,],Boer War,[,],First World War",3rd Cavalry Brigade (United Kingdom)
,5th (Mhow) Cavalry Brigade
,5th Royal Irish Lancers
"[,],The Glorious Revolution,[,],The Williamite War in Ireland,[,],Nine Years War,[,],War of the Spanish Succession,[,],War of the Austrian Succession,[,],First World War,[,],Inter-War period,[,],Second World War,[,],Post-War period and amalgamation",3rd The King's Own Hussars
"[,],Second World War",4th Queen's Own Hussars
,11th Indian Cavalry Brigade
"[,],World War I,[,],World War II",5th Cavalry Brigade (United Kingdom)
,1st The Royal Dragoons
"[,],Boer War,[,],World War I",2nd Cavalry Brigade (United Kingdom)
"[,],20th century",7th Dragoon Guards
"[,], 4th Regiment of Horse,[,], 3rd Regiment of Horse,[,], 3rd Regiment of Dragoon Guards,[,], 3rd (Prince of Wales's) Dragoon Guards,[,], 3rd Dragoon Guards (Prince of Wales's),[,], 3rd/6th Dragoon Guards",3rd Dragoon Guards
,6th Cavalry Brigade (United Kingdom)
,Carabiniers (6th Dragoon Guards)
"[,],List of titles,[,],Principal battles & campaigns,[,],Footnotes",5th Dragoon Guards
"[,],22nd Lucknow Infantry Brigade,[,],Fyzabad Brigade,[,],Allahabad Brigade,[,],Presidency Brigade, Calcutta,[,],8th (Lucknow) Cavalry Brigade,[,],Unbrigaded",8th (Lucknow) Division
,1st King's Dragoon Guards
"[,],Napoleonic Wars,[,],First World War",7th Cavalry Brigade (United Kingdom)
"[,],Commander,[,],Formation,[,],Formation",4th Cavalry Brigade (United Kingdom)
,2nd Regiment of Life Guards
,Household Cavalry Regiment
"[,],Napoleonic Wars,[,],First World War",8th Cavalry Brigade (United Kingdom)
,16th/5th The Queen's Royal Lancers
"[,],Battle honours",14th/20th King's Hussars
,15th/19th The King's Royal Hussars
,Editing British cavalry during the First World War (section)
,13th/18th Royal Hussars
,4th/7th Royal Dragoon Guards
,5th Royal Inniskilling Dragoon Guards
"[,],Second World War,[,],Post-World War II",3rd Carabiniers
"[,],Affiliated Yeomanry",Life Guards (United Kingdom)
,Horse Guards (building)
"[,],Tudor and Stuart organisation,[,],Civil War, Commonwealth and Restoration,[,],From the Restoration to the ""Glorious Revolution"",[,],Organisation,[,],Strategy and Role,[,],Aftermath,[,],Organisation,[,],Operations,[,],Rearmament and development,[,],Organisation,[,],Post-WWII Operations Outside Great Britain,[,],Operations within the UK,[,],Falklands War,[,],Organisation,[,],Operations",History of the British Army
,Household Cavalry Mounted Regiment
,Lieutenant colonel
,Editing British cavalry during the First World War (section)
"[,],World War II,[,],Korean War,[,],After Korea,[,],Unit decorations,[,],Campaign streamers,[,],Notes,[,],Sources",IX Corps (United States)
"[,],National People's Army,[,],Army,[,],Air Force",Major general
"[,],Army insignia,[,],Air Force insignia,[,],Argentina,[,],Australia,[,],Bangladesh,[,],Belgium,[,],Brazil,[,],Canada,[,],China,[,],Colombia,[,],Denmark,[,],Estonia,[,],France,[,],Germany,[,],Greece,[,],Hungary,[,],Indonesia,[,],Iran,[,],Ireland,[,],Israel,[,],Jordan,[,],South Korea,[,],Burma (Myanmar),[,],Mexico,[,],Pakistan,[,],Poland,[,],Portugal,[,],Spain,[,],Sweden,[,],Turkey,[,],United Kingdom,[,],United States",Brigadier general
,Experimental Mechanized Force
"[,],Nine Years War,[,],War of the Spanish Succession,[,],Anglo-Spanish War,[,],Seven Years' War,[,],American Revolution,[,],Peninsula War,[,],Formation,[,],The Second Boer War,[,],Reorganisations 1900–1908,[,],World War I,[,],World War II,[,],Korean War,[,],5th Regiment of Foot,[,], 5th (Northumberland) Regiment of Foot,[,], 5th (Northumberland Fusiliers) Regiment of Foot,[,], Northumberland Fusiliers,[,], Royal Northumberland Fusiliers,[,], Royal Regiment of Fusiliers",Royal Northumberland Fusiliers
"[,],Field works,[,],Symbol for the futility of war,[,],Implementation,[,],Trench defensive systems,[,],Trench construction,[,],Trench geography in World War I,[,],Infantry weapons,[,],Tanks,[,],Machine guns,[,],Mortars,[,],Artillery,[,],Gas,[,],Flamethrowers,[,],Helmets,[,],Wire,[,],Aircraft,[,],New weapons,[,],Strategy,[,],World War I tactics,[,],World War I communications",Trench warfare
,Pelisse
"[,],Origins,[,],Nineteenth century usage,[,],World War I,[,],Polish usage to present day",Czapka
"[,],Bibliography",Tunic
"[,],Hackle colours in British fusilier regiments,[,],Non-Fusilier Regiments",Hackle
,Breastplate
"[,],Origins,[,],18th Century,[,],19th century,[,],World War I,[,],Interwar,[,],World War II,[,],Modern",Uhlan
,Cuirassier
,Hotchkiss M1909 Benet-Mercie machine gun
"[,],Tropical Variation,[,],Scottish Variations,[,],1908 Pattern Webbing Equipment,[,],1914 Pattern Leather Equipment,[,],Pith helmet,[,],Brodie Helmet,[,],Gas helmets,[,],Webley revolver,[,],Short Magazine Lee-Enfield Mk III,[,],Machine Guns,[,],Mortars,[,],Tanks,[,],Hand grenades,[,],Artillery",British Army uniform and equipment in World War I
,Editing British cavalry during the First World War (section)
"[,],Distinctive features of mortars,[,],Spigot mortar,[,],Largest mortars,[,],Improvised mortars,[,],Notes",Mortar (weapon)
,Pattern 1908 and 1912 cavalry swords
,Brodie helmet
"[,],Concussion,[,],Smoke,[,],Riot control,[,],Incendiary,[,],Molotov cocktail,[,],Stun,[,],Anti-tank,[,],China,[,],Byzantine Empire,[,],Europe,[,],American Civil War,[,],1900s,[,],World War I,[,],World War II,[,],Detonation mechanism,[,],Stun,[,],Sting,[,],Impact stun",Hand grenade
"[,],Models/marks of Lee-Enfield Rifle and service periods,[,],Sniper rifles,[,],.22 Training Rifles,[,],Muskets and Shotguns,[,],L59A1 Drill Rifle,[,],Charlton Automatic Rifles,[,],De Lisle Commando carbine,[,],Elkins Automatic Rifle,[,],Howard Francis machine carbine,[,],Howell Automatic Rifle,[,],Rieder Automatic Rifle,[,],Ishapore 2A/2A1,[,],List of manufacturers,[,],Khyber Pass Copies,[,],Armalon",Lee-Enfield
"[,],Farm wagon,[,],Freight wagon,[,],Delivery wagon,[,],Nomadic wagons,[,],Steam Wagons",Wagon
"[,],Mackinac Island,[,],Harness horses",Draft horse
,Quartermaster Sergeant
,Farrier
,Company quartermaster sergeant
"[,],Middle Ages,[,],Development of the modern saddle,[,],English saddle,[,],Stock saddles,[,],Military saddles,[,],Asian saddle,[,],Other,[,],Fitting the horse,[,],Fitting the rider,[,],Non-animal saddles",Saddle
,Company sergeant major
,Captain (British Army and Royal Marines)
,Bandolier
,Artificer sergeant major
"[,],Canadian Forces,[,],Other organizations,[,],Royal Navy,[,],Royal Marines,[,],Army,[,],RAF,[,],United States Marine Corps,[,],United States Navy,[,],United States Army,[,],United States Air Force,[,],United States Army Air Forces,[,],United States Coast Guard,[,],Public Health Service Commissioned Corps and National Oceanic and Atmospheric Administration Commissioned Corps,[,],United States Maritime Service",Peaked cap
"[,],Fingering,[,],Extended technique,[,],Instruction and method books,[,],Solos,[,],Notes,[,],Bibliography",Trumpet
"[,],Origins,[,],Early divisions,[,],The modern division,[,],Cavalry,[,],Armored divisions,[,],Canada,[,],Colombia,[,],Germany,[,],India,[,],China,[,],Pakistan,[,],United Kingdom,[,],United States,[,],USSR/Russian Federation",Division (military)
"[,],Lineage,[,],Pacific War,[,],Korean War,[,],Vietnam,[,],Reorganization and light infantry status,[,],Desert Storm and the Post-Cold War Era,[,],Wars in Iraq and Afghanistan,[,],Current structure,[,],Second World War,[,],Campaigns,[,],Decorations",25th Infantry Division (United States)
"[,],Foundation,[,],World War I,[,],Badge,[,],Phase 1 - Selection and Training,[,],Phase 2 - Probation",Small Arms School Corps
,John W. O'Daniel
"Gerald Gliddon,Stephen Snelling,Peter Cooksley,Peter F Batchelor & Christopher Matson",VCs of the First World War
,Panmunjom
,VCs of the First World War - Spring Offensive 1918
,38th parallel north
,Monuments to Courage
,Editing First Battle of Maryang San (section)
,Editing First Battle of Maryang San (section)
,British VCs of World War 2
" Adding pages without visiting them , Adding whole categories ",Book creator
,Cite
,"Information for ""Monuments to Courage"""
,"Changes related to ""Monuments to Courage"""
,"Pages that link to ""Monuments to Courage"""
,Civil decorations of Pakistan
"Federal government,Provincial governments,Local governments,Kashmir governments",Government of Pakistan
" Adding pages without visiting them , Adding whole categories ",Book creator
,"Rendering,Want to print more than one article?"
,"Pages that link to ""Government of Pakistan"""
,Cite
,"Information for ""Government of Pakistan"""
,Talk:Government of Pakistan
,"Rendering,Want to print more than one article?"
,Log in / create account
,"Changes related to ""Government of Pakistan"""
,Log in / create account
,Government of Pakistan: Revision history
,Category:Wikipedia articles needing copy edit from February 2013
,"Rendering,Want to print more than one article?"
,Category:Articles with unsourced statements from February 2013
,Government of Macau
"[,],Federal government,[,],Provincial governments,[,],Local governments,[,],Kashmir governments",Government of Pakistan
,Category:Articles with dead external links from February 2012
,Category:Government of Pakistan
,Government of the British Indian Ocean Territory
,Territory (country subdivision)
"[,],Fauna,[,],Demographics,[,],Annexation by the British Empire,[,],World War I,[,],World War II,[,],Transfer to Australia,[,],Internet,[,],Television",Cocos (Keeling) Islands
"[,],1912–1928,[,],1928–1949,[,],On Taiwan (1949–present)",Government of the Republic of China
"[,],Abolished ministries",Government of South Ossetia
"[,],First visit by Europeans,[,],Exploration and annexation,[,],Settlement and exploitation,[,],Japanese invasion,[,],Transfer to Australia,[,],Flora,[,],Fauna,[,],Telecommunications,[,],Container port,[,],Railways,[,],Air travel,[,],Road transport",Christmas Island
,Category:Politics of Pakistan
,Category:All articles needing copy edit
"[,],Palestinian Authority in the West Bank,[,],Hamas Authority in Gaza Strip",Palestinian government
,Politics of Northern Cyprus
,Government of Vietnam
"[,],2010 Parliamentary election,[,],2012 Presidential election",Politics of Nagorno-Karabakh
,Politics of Yemen
,Government of the Republic of Abkhazia
,Politics of Uzbekistan
"[,],Federal Supreme Council members/UAE rulers",Politics of the United Arab Emirates
"[,],New Constitution in 2008,[,],Turkmen Soviet Socialist Republic (1924–1991),[,],Republic of Turkmenistan (1991–present),[,],Presidents,[,],Turkmen Soviet Socialist Republic (1924–1991)",Politics of Turkmenistan
"[,],July 2007 election results and analysis",Politics of Turkey
"[,],Prime minister,[,],Cabinet,[,],National Assembly,[,],Courts of Justice,[,],The Administrative Courts,[,],The Constitutional Court",Government of Thailand
,Council of Ministers (Syria)
,Cabinet of Sri Lanka
"[,],Recent elections",Politics of Tajikistan
"[,],The King,[,],Royal family,[,],The Ulema and the Al ash-Sheikh,[,],Corruption,[,],Reform,[,],Political participation,[,],Opposition to the royal family,[,],Islamization,[,], protests",Politics of Saudi Arabia
,Politics of Qatar
"[,],International organization participation",Politics of Oman
,Government of the Philippines
,Government of Nepal
,Government of Russia
"[,],Ministries",Politics of Mongolia
,Politics of the Maldives
"[,],Legislature,[,],Executive,[,],Judiciary",Government of Malaysia
,Politics of Lebanon
"[,],The Emir,[,],The Government,[,],Ministries",Government of Kuwait
"[,],Cabinet of Ministers,[,],Prosecutor General",Politics of Kyrgyzstan
,Politics of Laos
"[,],Ministries ,[,],Independent Agencies,[,],※ Relocation of Government Agencies ,[,],President,[,],Ministries,[,],Independent Agencies (President),[,],Independent Agencies (Prime Minister),[,],Presidential Commissions,[,],Legislative,[,],Judicial,[,],Election",Government of South Korea
,Government of North Korea
"[,],President,[,],Agencies and committees",Government of Kazakhstan
,Politics of Jordan
,Cabinet of Israel
"[,],Federalism Law,[,],President,[,],Council of Ministers,[,],Council of Representatives,[,],Federation Council,[,],Higher Judicial Council,[,],Supreme Court,[,],Central Criminal Court",Federal government of Iraq
"[,],Parliament,[,],Guardian Council,[,],Expediency Council,[,],Political pressure groups and leaders,[,],Budget,[,],Government Ministries of Iran,[,],Other government links,[,],Other,[,],General",Politics of Iran
,Politics of Indonesia
"[,],President,[,],Vice President,[,],Cabinet, executive departments and agencies,[,],Supreme Court,[,],Cabinet Secretary,[,],Taxation,[,],Organizational structure of the Central Board of Direct Taxes,[,],General budget,[,],Corruption,[,],Spending priorities,[,],Deficits",Government of India
,Cabinet of Georgia
"[,],The People’s Assembly (Maglis El-Shaab),[,],The Consultative Council (Maglis El-Shura),[,],Parliamentary elections,[,],Notes,[,],Bibliography",Politics of Egypt
,Politics of East Timor
,Politics of Cyprus
,Government of China
"[,],Senate,[,],National Assembly,[,],Succession to the throne,[,],International rankings,[,],Royalty,[,],Official,[,],Other",Politics of Cambodia
"[,],Privy Council,[,],Council of Succession,[,],Religious Council,[,],Council of Ministers,[,],Composition",Politics of Brunei
"[,],Independence era,[,],AFPFL/Union Government,[,],Military socialist era,[,],SPDC era,[,],New constitution,[,],2010 Election,[,],2012 By Elections,[,],Members of Government of Burma,[,],[,],[,],Burmese democracy and human rights online media",Politics of Burma
,Cabinet of Bahrain
"[,],Executive branch,[,],Legislative branch,[,],Judicial branch",Politics of Bhutan
"[,],General Election, 1970,[,],First General Election, 1973,[,],Second General Election, 1979,[,],Third General Election, 1986,[,],Fourth General Election, 1988,[,],Fifth General Election, 1991,[,],Sixth General Election, 1996,[,],Seventh General Election, 1996,[,],Eighth General Election, 2001,[,],Ninth General Election, 2008,[,],Provisional Government,[,],1972-1975: Sheikh Mujibur Rahman,[,],1975 August-1975 November,[,],1975-1981: Ziaur Rahman,[,],1982-1990: Hussain Mohammed Ershad,[,],Hasina-Khaleda rivalry",Politics of Bangladesh
"[,],Azerbaijan parliamentary election, 2010,[,],Azerbaijan presidential election, 2003",Politics of Azerbaijan
"[,],List of office holders",Politics of Armenia
"[,],Background,[,],Northern Alliance and Taliban government,[,],Military action by the United States and allies,[,],Bonn Agreement,[,],ISAF and Afghan security forces,[,],New constitution and national elections,[,],Presidency of Hamid Karzai,[,],2004 Presidential election,[,],2005 Parliamentary election,[,],2009 Presidential election",Politics of Afghanistan
,Template:Asia topic
,Template talk:Asia topic
,List of lists of stadiums
"[,],Amusement parks,[,],Botanical gardens,[,],National parks,[,],Zoological gardens,[,],Abbottabad,[,],Bahawalpur,[,],Hyderabad,[,],Islamabad,[,],Jhelum,[,],Karachi,[,],Khairpur,[,],Lahore,[,],Rawalpindi",List of parks and gardens in Pakistan
,List of sovereign states
,List of mosques in Pakistan
,View source for Template:Asia topic
,Category:Pakistan
"[,],Archaeological and historical museums,[,],Archives,[,],Art galleries,[,],Biographical museums,[,],Heritage museums,[,],Military Museums,[,],Natural history museums,[,],Transport museums,[,],Money museums",List of museums in Pakistan
,List of mausolea and shrines in Pakistan
,List of Hindu temples in Pakistan
"[,],Karachi,[,],Chiniot,[,],Lahore,[,],Sargodha,[,],Islamabad",List of libraries in Pakistan
,List of forts in Pakistan
,List of churches in Pakistan
"[,],Punjab,[,],Assam,[,],Bihar,[,],Delhi,[,],Gujarat,[,],Haryana,[,],Himachal Pradesh,[,],Karnataka,[,],Kashmir,[,],Maharashtra,[,],Madhya Pradesh,[,],Orissa,[,],Rajasthan,[,],Uttarakhand,[,],Uttar Pradesh,[,],Sikkim,[,],West Bengal,[,],Tamil Nadu,[,],Punjab,[,],Sindh,[,],United Kingdom",List of gurdwaras
