category,body,about,tags,headline,author,metatext
Editor's Pick,"1. Enjoy a deli sandwich while , are rocking it at ,. Because, in Bushwick we love concerts in surreal places. Also we love Todd P., ,2. Take a hangover rehabilitation walk on Saturday afternoon around ,. Admire the beautiful street art and if you’re lucky, you might run into Joe Ficalora who curates it., ,3. Pop in to , evening, because a world class hair colorist , is opening her salon. Also she will have micheladas and Brooklyn Salsa bar and a photobooth. I mean really… She does hair to ,…, ,4. , who was born to , a year ago and caused a major media commotion. He’s a big, happy guy who likes cookies!, ,5. Art at Inter State never disappoints. Go see , at their new location on Knickerbocker Ave., ,6. Don’t just rave, rave in a spiritual manner with , involving meditation, yoga and DJs., ,7. Go see the opening at , night and get some locally made jewelry too!, ,8. No, it’s not a demonstration on Wilson Avenue. It’s simply that many people attending an art opening at  , on Friday night. Go check out paintings of KK Kozik and animal sculptures of Wendy Klemper., ,9. Spend your Sunday afternoon strolling through numerous ,. There is a LOT to see!, ,10. And the last weekend commandment: ,. Really., ","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Bushwick,Events,to do list,weekend guide","
									10 Things to do this weekend in Bushwick							",Katarina Hybenova,"					
					, | 10.12.12 | , 
				"
"Featured,People"," That’s a belief that many of us, especially in Bushwick live every day. It is a repetitive pattern: you have a crappy day job in exchange for a paycheck, and work on the things you truly love after hours.  But what if I told you it’s only that belief that is holding you back from doing what you love and receiving abundantly?,Impossible, you say? Maybe , can change your mind. Darcy lives with her husband in Bushwick and makes her living as an ,. It’s a career she’s created for herself in order to fulfill her purpose and follow her deep passion to be of service to people. In addition, she is a reiki master and she teaches reiki at ,. Darcy virtually changes people’s lives through career coaching, energy work and counseling. However, it wasn’t always like that and Darcy herself experienced the same journey to self-discovery as she’s taking her clients on. ,She graduated with a bachelors degree in ecology and biology and was began to teach science and environmental education. Despite doing all the “right” things and having the right relationship, she felt this internal angst and emptiness. “I kept looking for that fulfillment outside of myself.  I just kept feeling like the next thing, the next job or the next place I move to will maybe fill this internal void that I didn’t know how to talk about,” Darcy said. After a couple of years of living everything that , good for her, Darcy found herself constantly doubting her career path. Then even the relationship that meant to her so much ended. “That pain really let me to be open to things that I would never be open to before,” said Darcy about her joining a 3-year long energy medicine school.,Despite being constantly skeptical about the energy medicine school, she kept on taking little steps and completing the program. “It’s called the divine paradox,” Darcy smiled. “The choices that seem the biggest are the smallest and the choices that seem the smallest are in fact the biggest, and the truth and the power is always hiding in the bushes. Gods never show off, they don’t have to. And so the path that I took was the smallest choice next to the smallest choice. Each step seemed in the whole continuum of my life as a random choice but when I look at it now that’s absolutely how our lives unfold just by taking the next small step…”, ,Through reiki and energy medicine work and couching, Darcy discovered that all the answers she was looking for were inside of her. “I found out that I had the ability to know what I wanted and go for it; feel creative, and feel the sense of passion and purpose. I really reconnected, and once I did that I was able to create a career that really matches. Cooper [,] and I got back together and we were able to create a relationship that was real for us instead of all the , and have ,.”, ,So …are you feeling any more compelled to change your life? So how does it exactly work?  We asked Darcy., , ,I call it inner wisdom coaching. It is about helping people to align their heart with the work they want to do in the world, and really bring more of who they are in everything they do., ,I think the biggest point is to transform the idea of ,. A lot of us have this connection that if we do what we want and what is really calling to us, we also need to be poor; we can’t have both – abundance and be fully engaged in our passion. That’s something that I find to be completely untrue. It is actually that belief that stops us; the idea is we have to trade off being creative and making money. We operate from the understanding that we just assume that we are going to be poor. I think it’s absolutely important that we get away from the belief that those two things need to go together; and instead operate from the possibility that when you fully follow your passion, and you are giving yourself in the exact way you’re meant to, you can receive even larger than you’d be able to if you fit yourself into some career box that was tight and didn’t fit for you. We think that we have to be certain way in order to be able to make money but that’s really locking the flow of what’s natural. It’s really natural for us to be connected to our creativity, connected to our inner power. It is also natural to be in a giving and receiving relationship with money, abundance and all those kinds of things. It’s like breathing; we inhale and we exhale. They are even.,Yeah, and it’s controversial. A lot of people have a strong believe that it’s not possible, and that’s ok. It’s ok to just notice what our beliefs are, and what happens when we follow our passion. For myself I know that in the beginning I felt so lucky to be in a path that follows my passion that I expected to be poor, and I expected to not receive from it. That expectation meant that that’s what I got. It wasn’t until I realized that it’s my birthright to be very open about what I give and receive… and when you’re fully pursuing your creativity, you’re in a place where you are fully giving out, which means you can also fully receive back., ,Yes, and the idea that we’re making a trade-off continues: because we’re following our passion, we’re going to be poor, we’re going to get kicked out of the areas as they become nicer…,My husband is a visual artist, and I can see that that world is really challenging, so I know that these things are not simple and that there is no quick fix to shifting the paradigm. It’s really important to be aware and notice this paradigm: that being an artist means being poor., ,I see reiki and energy work as a tool for being able to connect with ourselves. When we’re fully connected with ourselves, we’re confident, we can really feel what our passion is, what our purpose is, and so we’re not as easily sued by rejection. We are not as timid to reach out, to connect with people, to be at the openings we need to be at, to offer our work to places that we think are above us. When we’re connected to why we’re here, we really feel the power and the sense of ourselves, that’s when we’re the most effective and we can connect with the idea that we can be both creative and abundant. When using reiki to help someone to relax we use our hands. We’re not asking for any external relationship to save us or any external power to help us or that call from a gallery owner to save us. We really see that all the power we need is inside of ourselves. So it’s a way to feel stronger.,One way is when we know that we are productive passionate people, but we feel a sense of energy drain throughout the day, we have no motivation for doing things, we know that we should be doing things but we can’t get ourselves to really do it. That sort of general laziness that we feel. Often that is a sign that you’re not connected with yourself. Another way comes out as angst. You’re always so angry internally. You might put a smile on your face and other people will say: “She so great, she’s so sweet.” but inside you constantly want to cry in the bathroom. You feel like inside it’s a totally different environment that what’s on the outside, that face you’re putting out there. That’s a real sign that the inside is not aligned with what is happening on the outside. That’s a real energy drain for you. It takes a lot of energy to put that mask on everyday and so as you continue to do that you just loose motivation and you have a general sense of wanting to give up. Or you’re feeling stuck; feeling trapped like none of your options is a good one. You’re tired of the same pattern, you don’t know what to change or how to change it.,When you reconnect with yourself it allows you to be in touch with all the different possibilities that are there and you see them very differently., ,One of the ways to shift energy is a breathing exercise. Close your eyes, and take a few nice deep breaths, in through your nose and out through your mouth. With the breath you feel yourself releasing all the anger, angst, frustration, whatever you’re feeling. Also bring your attention to your spine, vertebrae after vertebrae and rest on your tailbone. When you bring your attention to your tailbone, it brings you back to your body. As artists and creatives, we spend most of the time up in our heads thinking of new ideas, creating new things - and that’s great in a sense, but we’ve got to stay in our body. Then you just keep taking those breaths and you put your hand on your heart, and just get quiet. It doesn’t take very long. Set your timer for three minutes and this is all it takes to just settle in your body. And then notice as you come back, wiggle your fingers and walk around, notice how your internal environment has changed, there was a shift. If the next email you get is a rejection, it’s not going to be the end of the world., , , ","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","artists empowerment,Bushwick,Darcy Skye Holoweski,energy medicine,inner wisdom coaching,reiki","
									Darcy Skye Holoweski: Transforming the idea of ‘starving artist’							",Katarina Hybenova,"					
					, | 10.12.12 | , 
				"
"Featured,Music","For a proper ,, I like to visit venues that I will most likely not remember because I will be head banging or beer tossing. It appears calm at first, but checking out my hood I found these gems. I will be there; tennis racket in hand ready to get served. 30 Love suckas’,Friday Night – I am going with Shea Stadium. One, anything with Stadium in the name sounds pretty baller to say. “Yeah, I am heading to the Stadium for a quick one.” I want to check out Eula, and Quiet Loudly. Plus, it is a record release party for Passenger Peru. $5 Cover. Feel me? Find Me.,What was that? Another choice for Friday? Don’t mind if I do. Never Plan B; Delinquency has a line up I like to call “An Exploration in Jenna’s Ailments.”  Lazy Eyes, The Can’t Tells, Clinical Trails, Advaita, Low Fat Getting High. Yes,  as a matter of fact I am single.  And The Can’t Tells tune “Lying to Myself” is bouncing around my head. Who are you? I am finding out.,After I throw back a few Classy Cocktails at Tradesmen Saturday night across the street from me, I am rolling out to XPO 929. This band called Navel from Switzerland are playing, and God Bless this neutral Country. Because these are some fine looking gents. $6/$8 at the door.  I am falling in love with this venue. Hey XPO, call me.,f you are like me and like to conduct a Last Man Standing Contest; I’ve got news. You’re gonna lose. Saturday I am looking for an afterhours. Throwing down some Jameson with mah’ homies and rallying; because I never give…,Sunday? That is what Sunglasses are for right? I will be coming with the hungover vibes to catch Dead Leaf Echo, Avoxblue, Stereo Telescope at Delinquency.  Yes twice in one weekend. This new joint is packed come CMJ, and Dead Leaf Echo is a pleasant surprise for this Hollywood girl transplant to the Wick’. So get in on this., ","When asked what she wanted to be as a child, she replied “Japanese.” Her passion for Music lead her on a Vision Quest. Which landed her on the island of Manhattan. She has perfected the Art of Brunch.","Advaita,Clinical Trails,Dead Leaf Echo,Delinquency,EULA,Lazy Eyes,Low Fat Getting High,Quiet Loudly,The Can’t Tells,XPO929","
									Top 5, well Solid 4 Baller outings in Bushwick – Weekending 10/14							",Jenna Aranda,"					
					, | 10.11.12 | , 
				"
Music,"On a Saturday, I went to , for a punk rock powerhouse where Malcolm, ,, ,, ,, and (my personal favorite), , all played.  All of the bands are from or formed in Brooklyn. It was my first time in the industrial space. The drinks were strong and the bands were excellent.,Team Spirit’s mellow sound was a perfect way to ease into the show. The lead singer, the former synth-player of Passion Pit (think sleepy-hee-ee-eee-eee-aaaa–aaaaa-d), is the force behind the band.  His catchy indie-pop songs got the crowd dancing.  They’ve played many venues before and are really getting good from the experience.,Sidenote: when I googled Team Spirit was was happy to find out that their music video for , is genius.,Japanther’s set was amazing. They played songs from their latest and first records ,, and from their much older EPs like ,. You could tell by the crowd’s excitement that the veterans of the local music scene are welcome always really fondly. The mosh pit was wild with every song they played.,I sat at the bar and drank a PBR and took a shot of Jameson and watched the brothers from the Unstoppable Death Machine from afar. Their heavier sound was the best way to end the night.  The songs from their EP, , kept the crowd seriously rockin.’, , ",Park Slope transplant living in East Williamsburg,"Cool Serbia,Japanther,Malcolm,music,punk,Team Spirit,Unstoppable Death Machine","
									Japanther at Paperbox							",Asha Chagoyen,"					
					, | 10.11.12 | , 
				"
In the Hood,"You guys suck! Seriously, I only got two letters this week and lucky for you one happens to be from a brilliant comedian who I’m a fan of—alright, truth be told I asked her to submit—I had to! I don’t understand why you aren’t taking advantage of the opportunity to get free advice from a non-licensed therapist with more than ten years of experience. OK, so I don’t have a license for therapy but in exchange, I have a license to tell the truth.,Dear Dr. Lisa-,I am a comedian with a lovely husband and a full-time day job. People tell me I am talented, but it’s a struggle to get my writing and performing out there since I work at my day job—a lot. I have a potential “way out” of the job, but don’t feel right about quitting and spending all my time on comedy without a fully formed plan on how I will approach structuring my time to further my comedy career. Plus, I feel that it’s not right to quit my job to do comedy until I’m earning enough doing it to quit.,
–Emily Epstein White, ,Dear Emily,,Emily, Emily, Emily, this is a cold, cruel world and even crueler for people with strong ethics. Although I admire you for wanting to do things the right way, that’s never going to work in the ruthless world of comedy. Just look at the lives of so many successful comedians/musicians/artists: a lot of them start with sleeping on the floor somewhere when they first arrived in New York. You’ve already proven yourself as stable by holding down a job and a successful marriage. Your idea of making enough money is paying rent. David Cross’s idea of making enough money is to be able to pay for parking so he can sleep in his car. You have way too much talent to not take the risk and get out there. You hinted at a “way out.” Think hard about taking the “way out” with or without a plan. I don’t think you will be able to make a good plan until you see what it really feels like to give yourself the freedom to pursue your comedy career. In other words, you’ve created a conundrum that will keep you stuck. I smell fear—and it’s the fear of success.,-Dr. Lisa,The Connotation Comedy Show is always on the 2nd and 4th Wednesday of every month. Check out more of ,.,People with all sorts of differences can make great relationships work. What I’m sensing here is, you are questioning his judgement of how he treats other people; is he a compassionate guy? In my opinion, I’d say yes and no. Yes-if he’s compassionate towards you, he’s certainly capable of being compassionate. And No-in the big picture, if he has disdain for people who have obstacles and need help. Even then— to what degree—does he not think handicapped people should get help, or just slackers who are waiting for their unemployment to run out to start to look for work? I can’t possibly evaluate from your letter, but you can think about his behavior towards other people that you see him come in contact with. If he doesn’t treat YOU with compassion, well that is a deal breaker and you need some therapy.,Part of having a successful relationship with anybody is how you negotiate and this is a great chance to see how you can do this together. It sounds like the politics have gotten personal and is making you a bit critical of each other. Try to gain some awareness together, if you can, of what makes each other angry when you talk about politics. I’ll bet buried underneath the R’Obomaney discussion is some other more personally relevant resentments that you both have buried about each other. Oh and yes, please vote for Obama.,-Dr. Lisa,See you all next week-and send in some questions this time! LOVE U! Dr. Lisa","Dr. Lisa, S.P., is a self-proclaimed psychotherapist, artist, performer and comedian. She's had about ten years of experience as Dr. Lisa, with hundreds of patients, onstage and off. She's been featured in The New York Times, The London Times, and The Huffington Post. You can find more information about Dr. Lisa here: http://www.lisalevyindustries.com/","Advice column,ask,Dr. Lisa Levy","
									Dr. Lisa: Let’s Vote to Be Good to Ourselves When We Know We’ve Earned it							",Dr. Lisa Levy,"					
					, | 10.10.12 | , 
				"
"Arts and Culture,Featured","On a largely industrial strip of Melrose Street (save the apartments closer to Irving Avenue) a brightly painted rolling door covers a former auto repair shop. Last Saturday afternoon, under a dark cloud cover, groups of people continually walked into the fenced-off yard next door as noisy psychedelica poured out. The scene from the outside-in couldn’t have been more suitable. After all, this was ,’s One Year Anniversary in their Bushwick location.,Different than any other gallery in the neighborhood, Secret Project Robot hosted their anniversary in the afternoon. “We wanted it to be for kids and open to everyone,” said Rachel Nelson (no relation). That became evident during the opening set of psych-prog band Oneida, when one of the member’s toddler sons joined his dad and the rest of the band onstage. The crowd cheered him when he left. ,SPR favorites played both in the backyard and inside all day into the early evening, among them crowd favorites Guardian Alien (ex-Liturgy) and of course the badass K-Holes, whose set was reminiscent of a noisier, more energetic X. The quality of the performances came as no surprise.,“At Secret Project Robot, we usually have really strict criteria for art and music events. Art shows need to be submitted at least six months in advance and musical performances need to be more artistic and special than just a rock show that you can see anywhere else,” said Nelson. “Special and with love are words that are really important to us.”,As a space that grew artistically in their former location at Monster Island in Williamsburg (where they operated for 13 years before the building’s demise,) their relocation to Bushwick has only increased their mission to challenge audiences and artists and be a space for the surrounding community. Since their opening, the various rooms inside have been further decorated, including walls near the bathroom covered in stuffed animals, while the gravel backyard, in addition to housing shipping containers, now contains a stage, bar, tables and large potted plants and flowers. Clearly this is a space run with love and awareness of the surrounding environment’s past, present and future.,For a space that’s already hosted events this year such as the ,, the , and countless noise salons and exhibitions, they’re already looking ahead. Says Nelson, “Bushwick is growing fast. Hopefully all the Spanish families aren’t going anywhere and will continue to have barbecues on the streets and play really loud music at all hours- that is why I moved to New York and I hope Bushwick keeps this.”","Eric Nelson is a fiction writer, freelancer and curator living in Ridgewood Queens.","Bushwig,Rachel Nelson,Secret Project Robot,You Are Here","
									Secret Project Robot Celebrates One Year in Bushwick							",Eric Nelson,"					
					, | 10.10.12 | , 
				"
In the Hood,"Between the furniture designer and the buyer is a space that is currently empty in Bushwick. Hopefully, not for long! Sean Hackett, the founder of , plans to open a store in Bushwick. Its future customers will have a chance to connect with the designers and artists working in woodshops and artists studios in the area. “A neighborhood needs more than bars and restaurants to develop,” says Sean in their Indiegogo campaign video and we have to agree. We would love a nice furniture store and shop for some locally made stuff. KERF is currently raising some capital through , in exchange of your generous help. Throw them a buck or two, if you can, and start looking forward to KERF! If you’re a designer interested in showcasing at KERF, get in touch with Sean (thisiskerf(at)gmail.com)","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Bushwick,designer furniture,furniture,indiegogo,KERF","
									KERF plans to sell locally made furniture in Bushwick							",Katarina Hybenova,"					
					, | 10.09.12 | , 
				"
"Featured,In the Hood","Try to talk about Bushwick and its future to ten people, and you will get ten different opinions. The funny thing is that these ten different people will likely never talk to each other about it. While Bushwick is a favorite topic among artists who regularly hold , on creating a sustainable future of some sort for Bushwick, some of the important actors on the scene are rarely invited. After I realized that realtors speak a very different language and have different paradigms when it comes to Bushwick, I thought that a trip to midtown would be worthwhile. I talked to Eric Karmitz from Halstead Property, who is the salesperson for the 260 Meserole building that is currently for sale.,…which, by the way, is the building where ,.   ,260 Meserole was built in the 1860s and used to be a brewery. Nowadays, ,, named after the owners Danbro brothers, is a home to a community of musicians, a number of creative professionals (i.e. The Sweatshop, The Bushwick Supply) and, most importantly, to ,. The Wick, which has been not opened to the public yet, promises to be the greatest beer hall in New York. The Well is an enormous concert venue that opened in July and has already brought some incredible names to our beloved neighborhood.,“The building is already making over one million dollars per year and will make for 7-8% return for its future owner,” Eric Karmitz told me. Eric further explained that there is still 20,000 square feet of vacancy space that would be suitable for a hostel or a boutique hotel.,Eric Karmitz can’t hide his excitement about working on a 260 Meserole sale as opposed to his regular Manhattan office buildings. 260 Meserole is the only Bushwick/East Williamsburg building that Halstead Property is working on. “I get to go down there in the middle of the day. It’s great!” Looking for a buyer of “the music warehouse” requires a completely different approach. Eric also came across the issue of how to explain Bushwick to potential buyers. “Hip is a word that our parents are likely to use…” In other words, Halstead is looking for a quirky buyer who gets Bushwick and who really loves music.,“The building will change the area,” Eric said proudly. The conversation got really interesting when Eric pronounced conclusions that the , in September danced around but no one dared to say aloud: “Williamsburg is the new Manhattan, and Bushwick will be the next Williamsburg in five years.” Eric also predicts growth in rent earnings for the property owners and arrival of well-known retail brands to the area.,I asked Eric if they ever thought that the increase in rents in the area might not be good for longtime residents. While it seems that this is not an issue Halstead regularly contemplates, Eric quickly responded that the area around 260 Meserole is not residential anyways. The area is zoned as ,, which means that no residential use of the buildings is permitted. The manufacturing zone is also home to hundreds of artist studios in the area, which are likely to be responsible for making the area so desirable (sociologist , explains why in her book ,). While the NYC Department of City Planning doesn’t seem to be planning to change the zoning to residential for the moment, if this happened it would indeed be a fundamental change to the area. Many of artist studios and other manufacturing spaces would likely be turned into condos, which are far more lucrative for the property owners.,I was interested if the company Eric works for has ever contemplated a financial support to the artists and/or the families in the neighborhood as a way to give back to the community; they would earn a substantial commission from the sale after all. Eric said that he doesn’t know of Halstead planning anything like this; in fact, he hasn’t even thought in these terms. However, Eric agreed that it is a point worthy of discussion for the industry. Although, it should be noted that Eric Karmitz is an employee who cannot guarantee a shift in corporate responsibility of the company he works for.,Whether you are an artist or a longtime resident in the neighborhood, the conclusion we should be making here is that the discussion about the sustainable development of Bushwick will only be productive if it includes all players of the game: brokers, property owners, city planners, urban policy creators, theorists, artists and longterm residents. Without the discussion across the spectrum of players, realtors are unlikely to learn about the needs of the existing community and how to handle its future responsibly.","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","260 meserole,Bushwick,gentrification,halstead property,The Well,The Wick","
									Inviting Realtors To Talk “Bushwick’s Future”							",Katarina Hybenova,"					
					, | 10.09.12 | , 
				"
"Featured,Sponsored","We know you love your bicycles, so we’ve got good news: we’re giving one away. No, we didn’t scrounge up a vintage Huffy with pegs and streamers (that’s so last year). We got our hands on a sweet new game-changing commuter bike from one of the coolest and most conscientious bike makers around: ,.,VANMOOF, headquartered in the Netherlands (yeah, the country that managed to essentially ban cars from ,), is dedicated to bringing bicycles back to power. In this vein, it has produced the ultimate city bike: the ,. It’s made of light-weight aluminum, so you won’t get a sweaty back after riding over the Manhattan bridge; it’s got an integrated chain lock, so you’ll never lose it; and it’s outfitted with super-bright, pedal-powered Philips front and rear lights so you can see and be seen at night.,Did we mention this thing looks awesome? Don’t just take our word for it. VANMOOF has won serious design awards for its bikes, including the prestigious Red Dot award and the Dutch Design Award; and the VANMOOF 5 has received the EUROBIKE and BikeExpo awards, among many others.,One of you lucky readers is going to take this baby home. So what are you still doing here? Opt into the contest by giving VANMOOF your email below and earn extra entries by following them on facebook & twitter and sharing the contest with your friends.",,"bikes,give away,VANMOOF","
									Enter to win a brand-new bike from VANMOOF!							",Editors,"					
					, | 10.09.12 | , 
				"
"Featured,In the Hood","Ean Murphy’s , class at , is probably one of the best deals for young artists.  Really.  If you’re an artist who never took that finance class during undergrad (all of you) and you want to start marketing and selling your art, check out 3rd Ward’s stock of ,. In the three-hour course Bookkeeping, I found myself repeating “so that’s what that means” in my head.  ,Ms. Murphy, a Certified Quickbook’s Pro Advisor and founder of Moxie Business Solutions, uses her natural humor and dualistic intellect to educate the numerous artists and entrepreneurs in my class.  There is a woman involved in a fledging architecture business, a jewelry maker, a photographer and a woman running a tutoring service.  Most were sole proprietors of their small businesses, and most were women (work, gurrrl).,Ms. Murphy grabbed the bull by the horns and we delved into the black abyss that is IRS paperwork.  But before I knew it, we were smiling and learning about those tax cuts they keep talking about on the Daily Show (so that’s what that means).  Taxes weren’t scary at all, and the government seems, it turns out, to be willing to cut some breaks for small businesses.  Of course, we did get into what the big ccorps get out of creative taxation (and yes, I know what a ccorp is now).,When do I take my beloved little LLC businesses and incorporate?  What is incorporation?  When do I hire other employees, and do I really need to hire an accountant?  How do I follow the revenue as it courses in and out of my checking account/shoe box.  And why should I keep my business receipts?  Ms. Murphy covers all of these embarrassing snippets you were too afraid to put to your colleagues.,Go to the , or stop by Morgan Avenue between Meadows and Stagg to find out more about their other Professional Development classes including Professional Practices for Artists and the Business Plan Workshop, a eight week professional boot camp starting December 3rd.,
","Hilary Lamb is an eccentric from Connecticut.  She writes, waits tables, and knows CPR.  She often wonders why no one else is laughing.","3rd Ward,Classes,Ean Murphy,Education,professional development","
									No more excuses, artists! Bookkeeping is easy with 3rd Ward!							",HilaryLamb,"					
					, | 10.08.12 | , 
				"
"Featured,People","Hadar Pitchon’s vision of hybrids, emotions, and the future are what makes his ,, as well as his ,, visual Meccas for young, burgeoning male models, equally talented photographers, and top model agencies. What stands out about his work is that he’s extraordinarily self-aware about his environment and about the times he lives in. Hadar doesn’t blindly collect beauty. He puts himself in front of his own camera with equal zeal and vulnerability. With Hadar, it isn’t just about the photography, or executing a simple narcissism project. His process is meta in its approach, timeless in feeling, a performance art on the gritty streets of life. ,I met Hadar over the spring after seeing his , series. And like all life-zeitgeists, it was at the right moment at the right time.  My unhealthy fascination with the , and the , had reached an all too annoying peak. My friends were tired of my late night phone calls on weekly trifecta theories. Hadar and I, along with ,, indulged whatever fit of inspiration I had. He understood what I was projecting, because he does it every day. ,. Hadar is most certainly a triplet of conflict, creation, and re-invention; the exact combination required of any zeitgeist.,“I’m just too much,” said Hadar one Sunday afternoon as we were finishing up blueberry pancakes I made for us. That day I didn’t know how to respond. But 25 days later I can think of certain situations in life that if they hadn’t been “too much” they would have never changed the course of history (,, ,, ,). When Hadar turns the camera on himself, it is strange, unsettling, and at times, yes, too much. But ‘too much’ is a welcome and refreshing change-up to ‘keep-it-cool’ minimalism. I think it’s high time we all stop apologizing for ‘too much’ slather on the purple lipstick, don our intricate headpieces, and go to WORK., ,I photograph because it is my means of self-expression. I also love photography because it allows a sense of escapism. Through the lens I can create my own reality. Give myself or my subjects a freedom that I feel lacks in our everyday lives.,I think Bushwick has definitely inspired me since I moved here. I find it is hard edged, gritty and yet still there are places where art can catch your eye. The best analogy I can think of is that sidewalk where it is all concrete then there is that one little flower growing through the crack.,I think some of the hardest things facing photography is finding your voice. In a world full of social media, blogs, and so many other outlets it’s easy to get lost amongst the masses of images produced day after day. It is why I try to strive for photos that are iconic or timeless. I also think the starving artist element is alive now more than ever. I struggle with making ends meet. Many of us are waiting for our big moments, and we spend endless amounts of time wondering if it will come., ,I do believe we are living in this moment. The struggle is part of the story for most artists. It reminds me of those years where Madonna wandered the east village probably doing every odd job to make ends meet. There is a certain magic to that moment, I think most people do their best work when no one is looking. So it can be some of the best most productive times, the struggle keeps you hungry for more.,I don’t know if I would call it performance art necessarily. I think I try different looks for a combination of reasons. I love to see what a look can communicate to people and what reactions are made. I also think it is another form of escapism, it allows me to change something in this moment and feel some sort of relief. I also think it comes down to the fact I didn’t change my appearance for the first 20 years of my life so perhaps I am making up for lost time.,I think when I first moved to Bushwick it was a shock. I moved from living in a high-rise in midtown with my sister to a basement in a neighborhood I felt was in the middle of nowhere. But as time had gone by and I started to explore, I saw the art scene and met more people and loved the neighborhood. I see it as the new movement, so many amazing people trying to make big things happen!,That is a good question. I think there is always a certain level of attraction that draws me to someone. I look for a dreamlike quality, someone with innocence and yet a stern sense of themselves. I like dreamers and unique beauties. Sometimes it’s there, sometimes it isn’t. I feel there is very much energy with a subject. I find if it ends up to being a good energy the shots come out that much more powerful.,I think the energy from being out here has definitely influenced my work. It has gotten more raw, more gritty. I feel like its stripped down and imperfect, just like the surroundings in Bushwick can be.,Well I have always said vulnerability is the key to my work. I always want to break through that wall and capture something that is so vulnerable and real you can’t look away. I find vulnerability to not only be sexy, but beautiful and what keeps me looking at any image. It is all about developing a relationship with your subject, making sure they feel like they can open up.,I think if I lived anywhere else my work would be different for sure. I find here so many amazing subjects and different types of people! I love that element, and the magic it can hold. I went from creating work in college that had a sense of naivety to moving right to NYC, in doing so I became more attracted to the raw vulnerability the city leaves you with.","Ana Lola Roman is an electronic musician, composer, singer, dancer, choreographer, occasional photographer and wanderlust. She occasionally collects sounds of the city with her boom mic, howls romantically at the moon, and can be found waiting in line for the first plane to Mozambique.","Ana Lola Roman,hadar pitchon,People,photography,Therese Maher","
									Pancakes, Photography, Passion, and Re-Invention: A Sunday Afternoon with Hadar Pitchon							",Ana Lola Roman,"					
					, | 10.08.12 | , 
				"
Editor's Pick,"The heat is on! The 5th year of Bushwick Film Festival officially kicks off tonight at 7pm, and will continue through Saturday and Sunday. The festival is a carefully curated 3-night long celebration of film consisting of short and long features from Bushwick but also from around the world. We cannot but applaud to the organizers who through their DIY endeavors took the event to today’s professional level. Start your weekend with short films and music videos on Friday, and don’t miss , (Friday 7:45PM); ,  (Saturday 6:50PM) and , (Sunday 5:25PM). Check out t,. A , is $25, and individual days are $10. Bushwick Film Festival is an absolute must-go on your social diary this weekend!, ,Brooklyn Rail editor Theodore Hamm in collaboration with Occupational Art School is hosting STARR STREET SLAM at , tonight! The night will begin with a potluck, and will go on with readings by Barbara Browning, Doug Cordell, Corey Eastwood, Paul McLean and Christopher Moylan. Special guests of the night include new media artist Amelia Winger-Bearskin and Wilson Novitzki of DisciplineAriel. The organizers themself write: “Come join us for a fine time, for merriment, for smart and inspirational words, for libations and finger foods, for communal pleasure of all sorts!” What a nice intellectual night this is shaping to be!,Yes, it’s October and that means beer; ideally all kinds of nice beer in a nice Bushwick backyard. … and your wish just came true, because this Saturday , is inviting you for some beer fun at 321 Harman Street #1R. Jan-Luc Van Damme and Paul Nicholson (who you know from ,) have been working on their backyard for 4 years, and each year has been getting better and better! You can expect games, chants, traditional music, surprises and merriment to follow. Costumes are encouraged and there will also be grill! This is a BYO German Brew private event. Lovely readers of Bushwick Daily are cordially invited…,Happy Friday, everyone!","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Bat Haus,Bushwick,Bushwick Film Festival,Events,Octoberfest","
									3 Bushwick events you don’t want to miss this weekend (seriously!)							",Katarina Hybenova,"					
					, | 10.05.12 | , 
				"
